# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1747919603249000000,1747919620932000000,0
writeAction.count,1747919603249000000,1747919620932000000,1
writeAction.wait.ms,1747919603249000000,1747919620932000000,0
writeAction.median.wait.ms,1747919603249000000,1747919620932000000,0
VFS.invertedFileNameIndex.requests,1747919603249000000,1747919620932000000,0
VFS.fileChildByName,1747919603249000000,1747919620932000000,13
VFS.fileByIdCache.hits,1747919603249000000,1747919620932000000,0
VFS.fileByIdCache.misses,1747919603249000000,1747919620932000000,0
ReadAction.executionsCount,1747919603249000000,1747919620932000000,50085
AWTEventQueue.dispatchTimeAvgNs,1747919603249000000,1747919620932000000,0.0
FlushQueue.queueSizeMax,1747919603249000000,1747919620932000000,0
FlushQueue.waitingTime90PNs,1747919603249000000,1747919620932000000,0
AWTEventQueue.dispatchTimeMaxNs,1747919603249000000,1747919620932000000,0
FlushQueue.queueSize90P,1747919603249000000,1747919620932000000,0
AWTEventQueue.dispatchTimeTotalNS,1747919603249000000,1747919620932000000,14327329780
FlushQueue.executionTime90PNs,1747919603249000000,1747919620932000000,0
FlushQueue.tasksExecuted,1747919603249000000,1747919620932000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1747919603249000000,1747919620932000000,84884
FlushQueue.executionTimeAvgNs,1747919603249000000,1747919620932000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1747919603249000000,1747919620932000000,0
WriteAction.executionsCount,1747919603249000000,1747919620932000000,1
AWTEventQueue.eventsDispatched,1747919603249000000,1747919620932000000,0
NonBlockingReadAction.finalizedExecutionsCount,1747919603249000000,1747919620932000000,15
AWTEventQueue.dispatchTime90PNs,1747919603249000000,1747919620932000000,0
NonBlockingReadAction.failedExecutionsCount,1747919603249000000,1747919620932000000,0
FlushQueue.queueSizeAvg,1747919603249000000,1747919620932000000,0.0
FlushQueue.executionTimeMaxNs,1747919603249000000,1747919620932000000,0
FlushQueue.waitingTimeAvgNs,1747919603249000000,1747919620932000000,0.0
FlushQueue.waitingTimeMaxNs,1747919603249000000,1747919620932000000,0
DirectByteBufferAllocator.disposed,1747919603249000000,1747919620932000000,153
DirectByteBufferAllocator.misses,1747919603249000000,1747919620932000000,193
FilePageCache.pageHits,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalPagesReadMs,1747919603249000000,1747919620932000000,0
DirectByteBufferAllocator.hits,1747919603249000000,1747919620932000000,3
FilePageCache.pageLoads,1747919603249000000,1747919620932000000,196
FilePageCache.capacityInBytes,1747919603249000000,1747919620932000000,503316478
FilePageCacheLockFree.totalPagesWriteMs,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalPagesRequested,1747919603249000000,1747919620932000000,0
FilePageCache.maxRegisteredFiles,1747919603249000000,1747919620932000000,537
FilePageCacheLockFree.totalHeapBytesReclaimed,1747919603249000000,1747919620932000000,0
StorageLockContext.competingThreads.avg,1747919603249000000,1747919620932000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747919603249000000,1747919620932000000,41943040
FilePageCacheLockFree.housekeeperTurnsSkipped,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1747919603249000000,1747919620932000000,0
FilePageCache.uncachedFileAccess,1747919603249000000,1747919620932000000,110
FilePageCache.pageLoadsAboveSizeThreshold,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalPagesAllocated,1747919603249000000,1747919620932000000,0
StorageLockContext.competingThreads.90P,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1747919603249000000,1747919620932000000,0
FilePageCache.totalPageDisposalsUs,1747919603249000000,1747919620932000000,1039
FilePageCacheLockFree.housekeeperTurnsDone,1747919603249000000,1747919620932000000,0
FilePageCache.totalPageLoadsUs,1747919603249000000,1747919620932000000,309227
FilePageCacheLockFree.heapBytesInUse,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalBytesRead,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalPagesReclaimed,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747919603249000000,1747919620932000000,0
MappedFileStorage.totalBytesMapped,1747919603249000000,1747919620932000000,0
FilePageCache.pageFastCacheHits,1747919603249000000,1747919620932000000,3880
DirectByteBufferAllocator.reclaimed,1747919603249000000,1747919620932000000,43
FilePageCacheLockFree.totalBytesWritten,1747919603249000000,1747919620932000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalBytesRequested,1747919603249000000,1747919620932000000,0
FilePageCache.disposedBuffers,1747919603249000000,1747919620932000000,196
FilePageCacheLockFree.housekeeperTimeSpentMs,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.nativeBytesInUse,1747919603249000000,1747919620932000000,0
FilePageCache.maxCacheSizeInBytes,1747919603249000000,1747919620932000000,202375168
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747919603249000000,1747919620932000000,41943040
FilePageCacheLockFree.totalPagesWritten,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalPagesHandedOver,1747919603249000000,1747919620932000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1747919603249000000,1747919620932000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1747919603249000000,1747919620932000000,18386
MappedFileStorage.storages,1747919603249000000,1747919620932000000,0
StorageLockContext.competingThreads.max,1747919603249000000,1747919620932000000,0
MappedFileStorage.totalPagesMapped,1747919603249000000,1747919620932000000,0
cacheStateStorage.get.counter,1747919603249000000,1747919620932000000,10
cacheStateStorage.set.duration,1747919603249000000,1747919620932000000,0
cacheStateStorage.get.duration,1747919603249000000,1747919620932000000,0
cacheStateStorage.set.counter,1747919603249000000,1747919620932000000,0
workspaceModel.cachedValue.from.cache.ms,1747919603249000000,1747919620932000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1747919603249000000,1747919620932000000,0
workspaceModel.to.snapshot.ms,1747919603249000000,1747919620932000000,0
workspaceModel.update.unloaded.entities.ms,1747919603249000000,1747919620932000000,0
workspaceModel.initializing.ms,1747919603249000000,1747919620932000000,0
workspaceModel.updates.count,1747919603249000000,1747919620932000000,0
workspaceModel.replace.project.model.ms,1747919603249000000,1747919620932000000,0
workspaceModel.updates.precise.ms,1747919603249000000,1747919620932000000,0
workspaceModel.updates.ms,1747919603249000000,1747919620932000000,0
workspaceModel.cachedValue.calculated.ms,1747919603249000000,1747919620932000000,1
workspaceModel.cachedValue.clear.ms,1747919603249000000,1747919620932000000,0
workspaceModel.cachedValue.total.get.ms,1747919603249000000,1747919620932000000,1
workspaceModel.collect.changes.ms,1747919603249000000,1747919620932000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1747919603249000000,1747919620932000000,0
workspaceModel.init.bridges.ms,1747919603249000000,1747919620932000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1747919603249000000,1747919620932000000,3
workspaceModel.loading.total.ms,1747919603249000000,1747919620932000000,86
workspaceModel.check.recursive.update.ms,1747919603249000000,1747919620932000000,0
workspaceModel.loading.from.cache.ms,1747919603249000000,1747919620932000000,70
workspaceModel.cachedValueWithParameters.calculated.ms,1747919603249000000,1747919620932000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1747919603249000000,1747919620932000000,0
workspaceModel.full.replace.project.model.ms,1747919603249000000,1747919620932000000,0
workspaceModel.pre.handlers.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1747919603249000000,1747919620932000000,0
workspaceModel.load.cache.from.file.ms,1747919603249000000,1747919620932000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1747919603249000000,1747919620932000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1747919603249000000,1747919620932000000,0
workspaceModel.load.cache.metadata.from.file.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1747919603249000000,1747919620932000000,0
jps.global.get.libraries.ms,1747919603249000000,1747919620932000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1747919603249000000,1747919620932000000,0
jps.library.entities.serializer.save.entities.ms,1747919603249000000,1747919620932000000,0
jps.library.entities.serializer.load.entities.ms,1747919603249000000,1747919620932000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1747919603249000000,1747919620932000000,0
workspaceModel.save.cache.to.file.ms,1747919603249000000,1747919620932000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1747919603249000000,1747919620932000000,0
jps.global.get.library.by.name.ms,1747919603249000000,1747919620932000000,0
jps.global.initialize.library.bridges.ms,1747919603249000000,1747919620932000000,0
workspaceModel.global.updates.count,1747919603249000000,1747919620932000000,0
jps.global.get.library.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1747919603249000000,1747919620932000000,0
jps.load.initial.state.ms,1747919603249000000,1747919620932000000,43
jps.global.handle.changed.events.ms,1747919603249000000,1747919620932000000,0
jps.global.handle.before.change.events.ms,1747919603249000000,1747919620932000000,0
jps.app.storage.content.reader.load.component.ms,1747919603249000000,1747919620932000000,3
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747919603249000000,1747919620932000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747919603249000000,1747919620932000000,0
jps.save.global.entities.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.instances.count,1747919603249000000,1747919620932000000,3
workspaceModel.global.updates.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747919603249000000,1747919620932000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.entities.ms,1747919603249000000,1747919620932000000,3
workspaceModel.do.save.caches.ms,1747919603249000000,1747919620932000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747919603249000000,1747919620932000000,0
jps.global.initialize.library.bridges.after.loading.ms,1747919603249000000,1747919620932000000,6
workspaceModel.global.apply.state.to.project.ms,1747919603249000000,1747919620932000000,0
workspaceModel.sync.entities.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1747919603249000000,1747919620932000000,0
